name,address,website,phone,rating,reviews_count,google_maps_url,status
AGENCE EUROPA immobilier de luxe,"2 Bd de la Croisette, 06400 Cannes, France",http://www.agence-europa.fr,+33 4 92 98 98 98,4.8,26,https://maps.google.com/?cid=18138355556015240102&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL
Exclusive Agency,"7 Rue la Fontaine, 06400 Cannes, France",https://exclusiveagency.fr/en,+33 4 93 39 44 23,4.9,178,https://maps.google.com/?cid=5167134100632044402&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL
